Tipologia d'allotjament,Data,Pernoctacions
Establiments Hotelers,1/31/2021,124.403
Albergs,1/31/2021,11.197
Habitatges d'Ús Turístic,1/31/2021,297.996
Establiments Hotelers,2/28/2021,141.119
Albergs,2/28/2021,25.306
Habitatges d'Ús Turístic,2/28/2021,269.275
Establiments Hotelers,3/31/2021,181.077
Albergs,3/31/2021,30.028
Habitatges d'Ús Turístic,3/31/2021,311500
Establiments Hotelers,4/30/2021,210.963
Albergs,4/30/2021,35.873
Habitatges d'Ús Turístic,4/30/2021,354987
Establiments Hotelers,5/31/2021,360.912
Albergs,5/31/2021,40.901
Habitatges d'Ús Turístic,5/31/2021,452347
Establiments Hotelers,6/30/2021,552.505
Albergs,6/30/2021,45.451
Habitatges d'Ús Turístic,6/30/2021,512599
Establiments Hotelers,7/31/2021,958.979
Albergs,7/31/2021,80.336
Habitatges d'Ús Turístic,7/31/2021,782435
Establiments Hotelers,8/31/2021,1.302.988
Albergs,8/31/2021,107.345
Habitatges d'Ús Turístic,8/31/2021,977521
Establiments Hotelers,9/30/2021,1.061.704
Albergs,9/30/2021,130.529
Habitatges d'Ús Turístic,9/30/2021,701458
Establiments Hotelers,10/31/2021,1.298.672
Albergs,10/31/2021,92.064
Habitatges d'Ús Turístic,10/31/2021,836805
Establiments Hotelers,11/30/2021,1.121.674
Albergs,11/30/2021,79.906
Habitatges d'Ús Turístic,11/30/2021,716118
Establiments Hotelers,12/31/2021,976.580
Albergs,12/31/2021,99.617
Habitatges d'Ús Turístic,12/31/2021,931192
Establiments Hotelers,1/31/2022,738.287
Albergs,1/31/2022,85.328
Habitatges d'Ús Turístic,1/31/2022,618569
Establiments Hotelers,2/28/2022,1.051.797
Albergs,2/28/2022,118.034
Habitatges d'Ús Turístic,2/28/2022,614.543
Establiments Hotelers,3/31/2022,1.437.044
Albergs,3/31/2022,164.361
Habitatges d'Ús Turístic,3/31/2022,625055
Establiments Hotelers,4/30/2022,1.794.790
Albergs,4/30/2022,220.275
Habitatges d'Ús Turístic,4/30/2022,805706
Establiments Hotelers,5/31/2022,1.898.118
Albergs,5/31/2022,231.783
Habitatges d'Ús Turístic,5/31/2022,791349
Establiments Hotelers,6/30/2022,1.948.178
Albergs,6/30/2022,218.364
Habitatges d'Ús Turístic,6/30/2022,858.558
Establiments Hotelers,7/31/2022,2.070.538
Albergs,7/31/2022,217.518
Habitatges d'Ús Turístic,7/31/2022,1.038.668
Establiments Hotelers,8/31/2022,2.093.536
Albergs,8/31/2022,242.335
Habitatges d'Ús Turístic,8/31/2022,1136612
Establiments Hotelers,9/30/2022,1.852.067
Albergs,9/30/2022,231.330
Habitatges d'Ús Turístic,9/30/2022,886061
Establiments Hotelers,10/31/2022,1.944.366
Albergs,10/31/2022,224.145
Habitatges d'Ús Turístic,10/31/2022,900.796
Establiments Hotelers,11/30/2022,1.517.249
Albergs,11/30/2022,190.269
Habitatges d'Ús Turístic,11/30/2022,819.159
Albergs,12/31/2022,148.006
Habitatges d'Ús Turístic,12/31/2022,966.802
Establiments Hotelers,12/31/2022,1.349.961
Establiments Hotelers,1/31/2023,1.338.571
Albergs,1/31/2023,148.405
Habitatges d'Ús Turístic,1/31/2023,735.196
Establiments Hotelers,2/28/2023,1.487.069
Habitatges d'Ús Turístic,2/28/2023,832.113
Albergs,2/28/2023,164.021
Habitatges d'Ús Turístic,3/31/2023,960.550
Establiments Hotelers,3/31/2023,1.732.966
Albergs,3/31/2023,214.902
Habitatges d'Ús Turístic,4/30/2023,996.763
Establiments Hotelers,4/30/2023,1.949.277
Albergs,4/30/2023,240.790
Establiments Hotelers,5/31/2023,1.974.683
Habitatges d'Ús Turístic,5/31/2023,950.370
Albergs,5/31/2023,220.101
Habitatges d'Ús Turístic,6/30/2023,984.853
Albergs,6/30/2023,212.071
Establiments Hotelers,6/30/2023,1.931.412
Habitatges d'Ús Turístic,7/31/2023,1.076.460
Albergs,7/31/2023,260.480
Establiments Hotelers,7/31/2023,2.145.264
Habitatges d'Ús Turístic,8/31/2023,1.197.686
Albergs,8/31/2023,244.064
Establiments Hotelers,8/31/2023,2.182.281
Habitatges d'Ús Turístic,9/30/2023,1.000.973
Albergs,9/30/2023,235.322
Establiments Hotelers,9/30/2023,1.955.403
Albergs,10/31/2023,211.611
Habitatges d'Ús Turístic,10/31/2023,1.053.687
Establiments Hotelers,10/31/2023,1.963.727
Establiments Hotelers,11/30/2023,1.638.808
Habitatges d'Ús Turístic,11/30/2023,889.552
Albergs,11/30/2023,183.070
Habitatges d'Ús Turístic,12/31/2023,985.930
Establiments Hotelers,12/31/2023,1.419.285
Albergs,12/31/2023,163.933
